fps,time,direction,actor_yaw,speed,foot_l_x,foot_l_y,foot_l_z,foot_r_x,foot_r_y,foot_r_z
120,2.1000,-0.002,0.002,18.000,-127.908,-1037.780,-1.780,-189.358,-953.370,-0.280
120,2.1083,-0.002,0.002,18.000,-127.560,-1037.731,-1.692,-189.407,-953.442,-0.255
120,2.1167,-0.002,0.002,18.000,-127.212,-1037.682,-1.610,-189.459,-953.514,-0.234
120,2.1250,-0.002,0.002,18.000,-126.854,-1037.638,-1.534,-189.502,-953.582,-0.214
120,2.1333,-0.002,0.002,18.000,-126.490,-1037.592,-1.455,-189.550,-953.654,-0.194
120,2.1417,-0.002,0.002,18.000,-126.110,-1037.554,-1.380,-189.597,-953.726,-0.177
120,2.1500,-0.002,0.002,18.000,-125.727,-1037.518,-1.307,-189.645,-953.798,-0.161
120,2.1583,-0.002,0.002,18.000,-125.335,-1037.481,-1.237,-189.698,-953.871,-0.147
120,2.1667,-0.002,0.002,18.000,-124.940,-1037.447,-1.169,-189.745,-953.944,-0.134
120,2.1750,-0.002,0.002,18.000,-124.535,-1037.409,-1.106,-189.791,-954.015,-0.122
120,2.1833,-0.002,0.002,18.000,-124.132,-1037.369,-1.042,-189.839,-954.085,-0.109
120,2.1917,-0.002,0.002,18.000,-123.733,-1037.321,-0.988,-189.891,-954.151,-0.101
120,2.2000,-0.002,0.002,18.000,-123.332,-1037.271,-0.936,-189.943,-954.216,-0.093
120,2.2083,-0.002,0.002,18.000,-122.933,-1037.203,-0.895,-190.013,-954.243,-0.099
