fps,case,time,step,state,speed,x,y,z,sprint,dodge,input_paused,left_foot_x,left_foot_z,right_foot_x,right_foot_z
30,1,0.3667,0,Ground,650.00,142.95,-900.00,90.15,1,0,0,183.71,12.47,77.76,57.24
30,1,0.4000,0,Ground,650.00,164.61,-900.00,90.15,1,0,0,196.24,9.99,96.80,62.63
30,1,0.4333,0,Ground,650.00,186.28,-900.00,90.15,1,0,0,210.23,8.69,112.70,64.79
30,1,0.4667,0,Ground,650.00,207.95,-900.00,90.15,1,0,0,219.80,8.56,133.34,72.64
30,1,0.5000,0,Ground,650.00,229.61,-900.00,90.15,1,0,0,220.82,9.02,167.71,75.42
30,1,0.5333,0,Ground,650.00,251.28,-900.00,90.15,1,0,0,220.79,11.38,210.36,59.30
30,1,0.5667,0,Ground,650.00,272.95,-900.00,90.15,1,0,0,225.68,17.46,257.44,52.78
30,1,0.6000,1,Ground,450.00,287.95,-900.00,90.15,0,0,0,229.81,27.71,291.49,39.49
30,1,0.6333,1,Ground,450.00,302.95,-900.00,90.15,0,0,0,238.24,40.85,334.78,21.14
30,1,0.6667,1,Ground,450.00,317.95,-900.00,90.15,0,0,0,250.92,52.80,363.41,18.14
30,1,0.7000,1,Ground,450.00,332.95,-900.00,90.15,0,0,0,269.89,60.81,374.30,13.08
30,1,0.7333,1,Ground,450.00,347.95,-900.00,90.15,0,0,0,297.95,67.02,371.18,9.04
30,1,0.7667,1,Ground,450.00,362.95,-900.00,90.15,0,0,0,329.57,70.39,368.04,8.42
30,1,0.8000,1,Ground,450.00,377.95,-900.00,90.15,0,0,0,353.17,69.37,367.95,8.77
30,2,0.0000,0,Ground,0.00,0.00,-900.00,98.00,0,0,0,29.08,16.81,-36.75,17.25
30,2,0.0333,0,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.07,8.95,-36.75,9.41
30,2,0.0667,0,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.06,8.93,-36.75,9.41
30,2,0.1000,0,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.06,8.93,-36.74,9.42
30,2,0.1333,0,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.06,8.93,-36.74,9.42
30,2,0.1667,0,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.07,8.93,-36.74,9.42
30,2,0.2000,0,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.08,8.94,-36.73,9.43
30,3,0.0000,0,Ground,0.00,0.00,-900.00,98.00,0,0,0,29.12,16.82,-36.69,17.29
30,3,0.0333,0,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.12,8.98,-36.69,9.44
30,3,0.0667,0,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.12,8.98,-36.68,9.43
30,3,0.1000,0,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.12,8.99,-36.68,9.43
30,3,0.1333,0,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.13,8.99,-36.67,9.43
30,3,0.1667,0,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.13,8.99,-36.67,9.43
30,3,0.2000,0,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.13,9.00,-36.66,9.43
30,3,0.2333,0,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.13,9.00,-36.66,9.43
30,3,0.2667,0,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.13,9.01,-36.65,9.43
30,3,0.3000,0,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.13,9.01,-36.65,9.43
30,3,0.3333,0,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.14,9.02,-36.65,9.43
30,3,0.3667,0,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.15,9.04,-36.63,9.43
30,3,0.4000,1,Ground,68.27,2.28,-900.00,90.15,1,0,0,31.44,9.06,-34.34,9.44
30,3,0.4333,1,Ground,136.53,6.83,-900.00,90.15,1,0,0,33.47,9.27,-28.06,9.10
30,3,0.4667,1,Ground,204.80,13.65,-900.00,90.15,1,0,0,35.62,9.91,-17.63,8.12
30,3,0.5000,1,Ground,273.07,22.76,-900.00,90.15,1,0,0,40.97,12.13,-5.14,7.27
30,3,0.5333,1,Ground,341.33,34.13,-900.00,90.15,1,0,0,54.08,17.49,4.53,10.26
30,3,0.5667,1,Ground,409.60,47.79,-900.00,90.15,1,0,0,69.56,20.64,9.44,15.07
30,3,0.6000,1,Ground,477.87,63.72,-900.00,90.15,1,0,0,90.65,22.36,16.06,20.49
30,4,0.0000,0,Ground,0.00,0.00,-900.00,98.00,0,0,0,29.09,16.79,-36.72,17.28
30,4,0.0333,0,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.09,8.95,-36.72,9.43
30,4,0.0667,0,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.10,8.95,-36.72,9.43
30,4,0.1000,1,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.10,8.95,-36.71,9.43
30,4,0.1333,1,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.11,8.96,-36.70,9.43
30,4,0.1667,1,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.11,8.96,-36.70,9.44
